Customer ID,Customer SK,Customer Name,Country,City,Street Name,Street Number,Book ID,Book SK,Title,Author,Publisher,Language,Publication Date,Year,Month,Day,Revenue Book Sales
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,719,719,Rainforest Home Remedies: The Maya Way To Heal Your Body and Replenish Your Soul,"Nadine Epstein, Rosita Arvigo",HarperOne,English,2001-01-09,2021,12,10,15.82
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,6109,6109,Doctor Copernicus  (The Revolutions Trilogy #1),John Banville,Vintage,English,1993-10-12,2021,12,10,14.19
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,7249,7249,The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,Tor Books,English,2002-09-16,2021,12,10,13.00
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,11047,11047,Las aventuras de Tom Sawyer,Mark Twain,Edimat Libros,Spanish,2006-05-28,2021,12,10,16.16
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,6765,6765,God Bless You  Dr. Kevorkian,Kurt Vonnegut Jr.,Washington Square Press,English,2001-05-22,2022,5,31,15.65
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,7579,7579,Everest: Mountain Without Mercy,"Broughton Coburn, David Breashears, Tim Cahill",National Geographic,English,2003-04-01,2022,5,31,0.26
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,8137,8137,Quito 1599: City and Colony in Transition,"Kris Lane, Lyman L. Johnson",University of New Mexico Press,English,2002-07-26,2022,6,15,8.94
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,8155,8155,Cervantes in Algiers: A Captive's Tale,Maria Antonia Garcés,Vanderbilt University Press,English,2005-06-01,2022,6,15,1.89
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,918,918,The Lilac Bus,Maeve Binchy,Dell,English,2007-01-12,2022,10,6,4.68
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,7256,7256,Child of the Prophecy (Sevenwaters  #3),Juliet Marillier,Tor Books,English,2003-06-16,2022,10,6,17.43
1,1,Ursola Purdy,Mexico,Morelos,Kim Way,6,10840,10840,Der Prophet,Kahlil Gibran,Benziger,German,2001-09-01,2022,10,6,13.19
2,2,Ruthanne Vatini,Sweden,Avesta,Spenser Alley,342,2394,2394,Earthborn (Homecoming Saga #5),Orson Scott Card,Tor Books,English,1995-05-01,2021,9,2,0.63
2,2,Ruthanne Vatini,Sweden,Avesta,Spenser Alley,342,5754,5754,The Best American Essays 2006,"Lauren Slater, Robert Atwan",Mariner Books,United States English,2006-10-11,2021,9,2,10.81
2,2,Ruthanne Vatini,Sweden,Avesta,Spenser Alley,342,1370,1370,Mr. Majeika and the School Trip,Humphrey Carpenter,Puffin,English,1999-04-29,2022,12,2,10.63
